ds,yhat
2010-12-01,24355.090267926647
2010-12-02,31316.088857209314
2010-12-03,19857.21024704069
2010-12-05,10886.000829288922
2010-12-06,22171.674092571535
2010-12-07,25408.07345542887
2010-12-08,24159.648530589217
2010-12-09,31120.647119954974
2010-12-10,19661.768509774538
2010-12-12,10690.559092006415
2010-12-13,21976.232355286513
2010-12-14,25212.63171805883
2010-12-15,23964.206793242036
2010-12-16,30925.205382512628
2010-12-17,19466.326772276123
2010-12-19,10495.117354403934
2010-12-20,21780.790617576196
2010-12-21,25017.189980423576
2010-12-22,23768.76505552372
2010-12-23,30729.76364477645
2011-01-04,24626.306606185477
2011-01-05,23377.881689847534
2011-01-06,30338.880287462962
2011-01-07,18880.001685636737
2011-01-09,9908.792284621768
2011-01-10,21194.46555623944
2011-01-11,24430.864927537565
2011-01-12,23182.4400111077
2011-01-13,30143.438608806224
2011-01-14,18684.560006980202
2011-01-16,9713.353200072886
2011-01-17,20999.027768843545
2011-01-18,24235.428437188955
2011-01-19,22987.004817863643
2011-01-20,29948.00471255529
2011-01-21,18489.127407835436
2011-01-23,9517.920600967804
2011-01-24,20803.595169612854
2011-01-25,24039.995837990067
2011-01-26,22791.57221870539
2011-01-27,29761.943707611565
2011-01-28,18312.437997172143
2011-01-30,9359.974378732803
2011-01-31,20655.020541673915
2011-02-01,23900.792804255118
2011-02-02,22661.74077916786
2011-02-03,29632.112268183046
2011-02-04,18182.606557623287
2011-02-06,9230.142939213603
2011-02-07,20525.18910214438
2011-02-08,23785.50517708914
2011-02-09,22560.996964428883
2011-02-10,29545.912265867788
2011-02-11,18110.950367714773
2011-02-13,9187.57437409009
2011-02-14,20497.16434940982
2011-02-15,23757.48042442964
2011-02-16,22532.972211750162
2011-02-17,29517.887513108228
2011-02-18,18096.178746596866
2011-02-20,9199.309016226627
2011-02-21,20522.15212310655
2011-02-22,23795.72132971519
2011-02-23,22584.46624867462
2011-02-24,29582.634681626852
2011-02-25,18160.92591514597
2011-02-27,9264.056184780584
2011-02-28,20586.89929170383
2011-03-01,23860.468498284932
2011-03-02,22659.64669776032
2011-03-03,29668.248411171473
2011-03-04,18256.97292516553
2011-03-06,9380.969755795952
2011-03-07,20714.246143254797
2011-03-08,23998.248630300648
2011-03-09,22797.426829638425
2011-03-10,29806.02854317836
2011-03-11,18394.75305717902
2011-03-13,9518.749887761045
2011-03-14,20857.868122732278
2011-03-15,24147.712457306006
2011-03-16,22952.732504181637
2011-03-17,29967.176065190346
2011-03-18,18561.74242669889
2011-03-20,9697.422952318357
2011-03-21,21036.541187230796
2011-03-22,24326.385521768796
2011-03-23,23131.40556867216
2011-03-24,30146.647157222767
2011-03-25,18742.01154631429
2011-03-27,9879.288127027965
2011-03-28,21219.204389523806
2011-03-29,24509.846751584962
2011-03-30,23315.664826138796
